id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
96033,"* Cosy flat 200m from the beach, El Palo/Malaga *",510467,Rafael,,Este,36.72031,-4.35627,Entire home/apt,54,4,154,2022-09-23,1.41,1,341,41,VFT/MA/22043
166473,Perfect Location In Malaga,793360,Fred,,Este,36.71934,-4.35942,Private room,21,5,85,2022-09-10,0.63,4,292,14,CTC/2018118027
212845,BEAUTIFUL DOUBLE ROOM IN MALAGA,617998,Valle,,Este,36.72606,-4.36541,Shared room,39,2,40,2022-09-18,0.31,2,213,4,VFT/MA/09354
229511,MOUNTAIN VILLA WITH SEAVIEWS - PRIVATE POOL,1198693,Joaquin,,Este,36.79087,-4.38198,Entire home/apt,191,5,4,2022-07-30,0.06,2,365,1,VFT/ MA/22170
330760,Malaga Lodge Guesthouse Double room-shared bath.,1687526,Mayte,,Centro,36.729786,-4.413462,Private room,48,1,47,2022-02-22,0.36,3,71,5,VFT/MA/12240
340024,NEW APARTMENT IN MALAGA CENTER,1725690,Carlos,,Centro,36.72813,-4.41422,Entire home/apt,56,3,195,2022-09-13,1.68,1,301,42,VFT/MA/02334
358541,Casa La Maga - Apartment for happy people,1526932,Cristina,,Centro,36.72338,-4.42208,Entire home/apt,76,2,326,2022-09-17,2.57,1,220,34,VFT/MA/02288
412798,Excellent Holiday Apartment with Wi-Fi and A/C,1399056,Mario,,Teatinos-Universidad,36.72369,-4.46125,Entire home/apt,115,6,19,2020-08-26,0.19,1,0,0,VFT/MA/18479
413063,Apartment historical centre Malaga,2055304,Michael,,Centro,36.720215,-4.42297,Entire home/apt,81,60,21,2018-09-12,0.17,1,365,0,
421077,LUXURY MALAGA HISTORIC CENTER BEACH,2092252,Tatiana Juliettesis,,Centro,36.72117,-4.42526,Entire home/apt,62,1,79,2022-08-31,0.63,7,349,8,H
427860,Enjoy the coast of the Sun,2126353,Pablo,,Centro,36.73323440551758,-4.415975093841553,Private room,50,2,18,2022-08-23,0.15,3,271,2,CTC-2019124497
505688,Duplex Apartment in Malaga Center,2489890,Fede,,Centro,36.72526,-4.41821,Entire home/apt,69,4,192,2022-09-05,1.55,13,65,18,VFT/MA/00643
507961,Duplex Apartment. Malaga Center,2489890,Fede,,Centro,36.72433,-4.41834,Entire home/apt,68,4,159,2022-07-05,1.27,13,62,12,VFT/MA/00641
508787,Modern Apartment in Málaga Center,2489890,Fede,,Centro,36.7248,-4.41913,Entire home/apt,54,4,206,2022-08-31,1.65,13,85,14,VFT/MA/00576
509073,Modern Apartment. Málaga CityCenter,2489890,Fede,,Centro,36.7248,-4.41913,Entire home/apt,60,4,206,2022-09-14,1.66,13,57,16,VFT/MA/00574
550804,"MALAGA CENTER, MALAGUETA BEACH",2707228,Alfonso,,Centro,36.71643,-4.41103,Entire home/apt,47,5,72,2022-07-17,0.63,4,41,15,VFT/MA/672
577612,In the main square of the city cent. 3 double bedr,2840633,Carolina,,Centro,36.72137,-4.42336,Entire home/apt,166,1,295,2022-08-13,2.58,1,321,10,VFT/MA/0032
